0,104,101,144,187
1,115,75,144,146
2,127,79,156,145
3,52,59,161,190
4,68,50,142,166
5,113,93,123,115
6,100,91,129,135
7,150,83,165,137
8,151,73,171,152
9,129,68,186,154
10,117,52,162,153
11,122,173,143,208
12,165,138,179,178
13,182,83,216,123
14,122,107,142,142
15,78,116,86,145
16,150,93,164,134
17,138,99,158,120
18,111,112,124,140
19,55,52,168,171
20,122,82,138,145
21,115,91,136,127
22,95,81,136,137
23,109,97,129,139
24,134,126,158,183
25,92,67,133,151
26,91,114,156,156
27,122,106,157,196
28,116,53,154,159
29,118,148,136,177
30,145,81,165,145
31,45,83,87,143
32,149,140,180,166
33,150,86,169,134
34,121,181,130,209
35,73,25,118,203
36,92,39,172,110
37,156,67,184,181
38,105,89,137,128
39,181,76,201,132
40,125,43,146,69
41,21,66,68,158
42,96,64,128,154
43,125,128,147,172
44,156,83,178,139
45,112,52,141,156
46,119,127,137,170
47,147,98,173,140
48,109,51,144,149
49,125,42,169,205
50,159,87,168,109
51,93,67,135,147
52,145,80,166,140
53,109,119,135,178
54,84,84,134,171
55,147,83,166,149
56,98,72,129,146
57,150,89,168,139
58,168,157,221,198
59,64,62,172,171
60,120,86,150,118
61,92,51,117,92
62,101,92,121,139
63,126,42,145,74
64,184,145,220,218
65,140,99,162,152
66,98,70,132,150
67,145,118,161,136
68,147,68,173,146
69,124,30,164,66
70,192,44,211,95
71,148,84,159,113
72,87,64,114,128
73,88,54,156,165
74,110,83,127,136
75,120,89,152,133
76,141,79,165,110
77,69,110,83,149
78,142,79,159,146
79,116,95,161,140
80,118,110,182,169
81,156,83,181,152
82,85,84,139,170
83,109,68,116,127
84,138,94,158,138
85,88,37,108,88
86,148,98,170,135
87,115,53,154,160
88,172,53,197,111
89,148,75,170,146
90,161,171,179,192
91,151,84,165,138
92,134,147,158,185
93,138,53,153,91
94,102,79,141,129
95,70,59,105,162
96,120,86,147,118
97,147,0,166,14
98,85,47,117,172
99,142,79,153,105
100,153,99,165,131
101,162,139,178,177
102,167,66,176,85
103,134,36,150,74
104,143,89,164,137
105,144,85,166,138
106,115,95,131,129
107,119,70,166,134
108,65,11,115,201
109,92,51,115,91
110,106,103,142,173
111,139,78,161,140
112,130,65,157,152
113,98,93,123,134
114,110,121,135,177
115,46,0,95,216
116,199,72,222,129
117,168,124,188,164
118,170,48,217,120
119,172,42,194,69
120,79,68,118,126
121,156,55,174,90
122,97,64,130,154
123,123,23,172,203
124,114,90,137,128
125,102,91,126,151
126,151,31,181,92
127,134,36,151,72
128,98,79,113,121
129,111,91,137,130
130,101,56,131,150
131,103,92,130,135
132,93,99,142,190
133,112,80,154,124
134,158,78,173,139
135,87,64,117,162
136,121,85,206,140
137,139,165,155,198
138,42,42,157,196
139,148,98,172,140
140,73,6,135,215
141,150,92,164,134
142,116,66,159,147
143,162,153,187,195
144,27,69,64,156
145,137,84,158,142
146,124,93,154,125
147,117,65,127,93
148,160,87,177,117
149,141,151,160,179
150,118,119,162,188
151,47,139,128,205
152,129,92,159,133
153,132,98,167,147
154,129,34,154,64
155,115,109,126,138
156,146,88,164,140
157,131,90,156,147
158,100,156,121,194
159,137,99,160,120
160,153,83,179,159
